month,division,line,num_passengers,additional platform time,additional train time,total_apt,total_att,over_five_mins
2023-09-01,B DIVISION,B,4071741.4,1.884671272,0.9019960895,7660657.847,3755200.841,962454.1
2023-05-01,B DIVISION,Q,6937422.2,1.3756717025,0.5241673545,9538959.005,3648818.406,1356955.4
2023-04-01,B DIVISION,Q,6183307.3,1.302253623,0.5469837725,8051037.889,3386804.277,1152951
2023-09-01,A DIVISION,7,7768799.9,0.944850553,0.5353554015,7306495.375,4130317.16,770626.7
2023-03-01,A DIVISION,2,6588716.6,1.202582921,0.3565006375,7880441.853,2268368.1177,887583.3
2023-07-01,A DIVISION,S 42nd,722744,0.557834836,-0.102842559,392703.3546,-73836.03033,10351.8
2023-01-01,B DIVISION,E,7234318.6,1.13294363,0.459154437,8181857.801,3262902.1852,1086761.6
2023-09-01,B DIVISION,L,4963801.8,0.619209023,0.5685487385,3071553.466,2825668.78,353142.1
2023-10-01,B DIVISION,L,6703245.2,0.811783602,0.5513651225,5438219.827,3694016.635,496129.9
2023-07-01,B DIVISION,M,3998008,1.9478652965,0.140373627,7754017.495,563205.008,863628.3
2023-06-01,A DIVISION,5,6141096.4,0.9759199025,0.1885062365,5911597.527,1055955.8125,678634.2
2023-11-01,B DIVISION,S Fkln,378655.2,0.9535023075,-0.005631911,361287.977,-2142.3785,17850.8
2023-04-01,B DIVISION,G,2758458.5,1.025074404,0.6837128725,2824848.357,1854425.6275,483218.2
2023-05-01,B DIVISION,C,4717725.8,1.764450318,0.6067484525,8305368.889,2897804.008,882882.6
2023-12-01,B DIVISION,W,2874116.6,1.2462099675,0.285917622,3587496.246,797330.2437,394224.3
2023-11-01,A DIVISION,5,6174103,1.1423413755,0.237713591,6959733.129,1284972.13183,730559.8
2023-11-01,A DIVISION,S 42nd,793650.9,0.4504783,-0.106410459,355156.5671,-84833.80683,7835.5
2023-06-01,B DIVISION,G,2933896.5,1.095470918,0.6715568285,3214963.705,1939313.6722,528331.7
2023-02-01,B DIVISION,R,6188548.8,1.6402078085,0.136003728,10141186.218,840691.3021,1172494.3
2023-08-01,A DIVISION,1,10254752,1.952626038,0.7324394825,20018510.369,7511413.593,1230350.2
2023-12-01,B DIVISION,L,6026472,1.223187253,0.471559531,7382521.904,2835761.388,528866.6
2023-01-01,B DIVISION,A,7386710.8,1.2957733485,0.8656532045,9474533.124,6307188.287,1409316.9
2023-07-01,A DIVISION,6,9869219.9,1.127862032,0.5574907,11150590.279,5507736.659,1061748
2023-05-01,B DIVISION,G,2999148,1.633650731,0.749062726,4803301.301,2215365.4388,569773.6
2023-07-01,B DIVISION,E,7330448.3,1.1825676975,0.5326360485,8645853.275,3786579.4602,1185565
2023-09-01,A DIVISION,6,8232320.2,1.1950527965,0.732365078,9856171.536,6057203.193,1055739.3
2023-01-01,B DIVISION,R,7220894.2,1.4791157795,0.0710559135,10648823.616,501589.9475,1280136.2
2023-09-01,B DIVISION,N,4076606.8,1.5038104375,0.722546128,6149712.017,2942165.241,812771.1
2023-07-01,B DIVISION,R,7364617.1,1.7394934155,0.1159929365,12774726.335,843610.4163,1502147.7
2023-08-01,B DIVISION,G,2873426.3,1.186102039,0.6495255605,3408445.747,1854459.5732,502025.8
2023-07-01,B DIVISION,N,4755483.9,1.6933467375,0.562974005,8035606.783,2689209.73,962606.7
2023-05-01,A DIVISION,2,6738062.3,1.1988676035,0.3557642635,8037972.781,2356679.8417,916759.7
2023-12-01,B DIVISION,R,8776642.7,1.9587637125,0.088436173,17136064.615,738061.0689,1910968.2
2023-02-01,B DIVISION,L,4994098.7,0.6902282045,0.485366764,3456103.368,2418336.124,327772.8
2023-06-01,A DIVISION,6,11013322,0.9174540445,0.460490932,10086358.439,5077202.006,943783.2
2023-01-01,Systemwide,Systemwide,128361745.6,1.212993583,0.473757826,155701973.8,60812381.6,18295465.3
2023-11-01,A DIVISION,1,10759914,0.9767615055,0.709867904,10520728.165,7643595.149,1209257.2
2023-05-01,Systemwide,Systemwide,138789450,1.293491951,0.55140085,179523036.5,76528620.71,21731661.4
2023-04-01,B DIVISION,JZ,2730550.7,1.127545091,0.198034443,3073543.067,543112.212,443422.5
2023-04-01,B DIVISION,S Fkln,351312,0.6557721115,0.067269466,229324.59687,23589.73584,12862.5
2023-01-01,B DIVISION,D,5566368.9,1.441143323,0.6429243995,8054698.041,3591921.333,1199132.4
2023-11-01,B DIVISION,JZ,2868624,1.8451784855,0.5745245095,5245860.54,1640774.6422,563458.8
2023-04-01,A DIVISION,S 42nd,677098,0.450572354,-0.0979840485,299262.7248,-66344.34766,7220.6
2023-03-01,B DIVISION,L,6344707.1,1.1150689895,0.8370878895,7066527.819,5292551.181,633567.9
2023-04-01,A DIVISION,5,5341493.9,1.0001714675,0.321899853,5262440.923,1638775.685,631358.4
2023-10-01,B DIVISION,R,9341857.9,1.4538793715,0.145080511,13566890.611,1366820.0055,1650930.1
2023-02-01,B DIVISION,C,3457977.9,1.5711010155,0.5091756495,5432419.432,1764604.2473,621576
2023-07-01,B DIVISION,C,4338827,1.65359704,0.4544465125,7181627.054,2037715.487,789973.6
2023-02-01,A DIVISION,2,5531342.6,1.0649777225,0.303199195,5832013.854,1619687.2054,680670.5
2023-09-01,B DIVISION,Q,5713530.6,1.45720404,0.6288407605,8325934.557,3590185.588,1215479.6
2023-05-01,A DIVISION,1,10469400.9,0.9799192485,0.6559488465,10258835.226,6858568.058,1123925.9
2023-02-01,A DIVISION,S 42nd,598906.6,0.4598201875,-0.097755947,263983.0121,-57868.88033,6266.2
2023-03-01,B DIVISION,G,3094178.3,1.0039237675,0.723837805,3124213.48,2178850.5943,540108.1
2023-03-01,A DIVISION,7,9486777.4,1.3602251935,0.667674317,13128024.449,6371875.209,1094497.9
2023-11-01,B DIVISION,R,8939364,1.3523531215,0.0645193145,12038971.918,545872.7858,1533121.9
2023-09-01,B DIVISION,F,7351597.7,1.410656764,0.637015637,10323618.754,4646960.741,1458732.5
2023-12-01,A DIVISION,7,8352222,1.5591979305,0.8742202965,13057906.311,7300850.914,1203705.7
2023-04-01,B DIVISION,B,4332481,1.454499955,0.7370245105,6191837.179,3124784.425,820854.3
2023-12-01,A DIVISION,6,10452768.9,1.44846456,0.8140784895,15211700.748,8579773.322,1585456.3
2023-11-01,Systemwide,Systemwide,139000000,1.217634206,0.486487377,169819868.2,67848966.34,20984772.5
2023-07-01,A DIVISION,1,9483578.7,0.9744269055,0.655446404,9228474.064,6192281.296,1002678
2023-11-01,A DIVISION,4,7884944,0.903951879,0.324131808,7122950.263,2537724.7755,892769.2
2023-11-01,B DIVISION,B,5065836,1.5537392765,0.7257567535,8020969.003,3923913.7437,1143086.6
2023-02-01,A DIVISION,6,6789145.1,1.0589722005,0.556033014,7196961.718,3813432.496,734112.2
2023-09-01,B DIVISION,W,2413789.1,1.1498150725,0.2609612735,2777158.637,630182.484,299921.7
2023-09-01,A DIVISION,4,6093137.1,0.9708923315,0.442338627,5916019.951,2694917.519,745599.3
